Temperature,Power (1000m),Power (1200m),Power (1400m),Power (1600m),Power (1800m),Power (2000m),Power (2200m),Power (2400m),Power (2600m),Power (2800m),Power (3000m),Consumption
-30,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,21
-29,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,-30
-28,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,5
-27,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-26,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-25,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-24,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-23,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-22,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-21,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-20,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-19,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-18,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-17,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-16,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-15,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-14,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-13,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-12,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-11,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-10,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-9,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-8,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-7,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-6,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-5,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-4,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-3,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-2,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
-1,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
1,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
2,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,
